Rk,I,Player,Split,Year,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
61,,Javier Lopez,Total,2014,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
62,,Javier Lopez,Last 28 days,2014,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
63,,J.C. Gutierrez,Total,2014,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
64,,J.C. Gutierrez,Last 28 days,2014,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
65,,Brandon Hicks,Last 14 days,2014,9,8,33,22,3,3,0,0,0,1,0,1,8,10,.136,.387,.136,.523,3,2,1,2,0,0,0,.250,35,57
66,,Hector Sanchez,Last 14 days,2014,9,3,20,18,0,1,0,0,0,1,0,0,1,9,.056,.150,.056,.206,1,1,1,0,0,0,0,.111,8,-38
67,,J.C. Gutierrez,Last 365days,2014,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,
68,,David Huff,Total,2014,8,0,1,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,0,1.000,100,472
69,,Juan Perez,Last 28 days,2014,8,1,9,8,1,0,0,0,0,0,0,1,0,3,.000,.000,.000,.000,0,1,0,1,0,0,0,.000,,-100
70,,Ehire Adrianza,Last 14 days,2014,8,1,10,9,0,3,1,0,0,1,0,0,0,2,.333,.333,.444,.778,4,0,0,1,0,0,0,.429,216,120
71,,David Huff,Last 28 days,2014,8,0,1,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,0,1.000,100,472
72,,Yusmeiro Petit,Total,2014,8,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
73,,Yusmeiro Petit,Last 28 days,2014,8,0,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,,,-100
